latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.04614,-73.14608,297.3,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,286.8,1.7,N
46.0457,-73.13885,312.2,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,287.2,1.7,N
46.04486,-73.14624,302.4,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,286.2,2.3,N
46.04438,-73.13902,314.6,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,286.8,2.4,N
45.2778,-66.01077,296.7,0.42,0.38,2021-06-24,0612,1,nominal,2.0NRT,284.7,1.8,N
45.84013,-73.25297,296.4,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,284.5,1.1,N
45.82167,-73.26263,299,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,284.1,1.6,N
45.78345,-73.91408,298.8,0.59,0.53,2021-06-24,0612,1,nominal,2.0NRT,279.2,0.6,N
45.78111,-73.9107,299,0.59,0.53,2021-06-24,0612,1,nominal,2.0NRT,279.3,0.8,N
44.05583,-77.12171,300.2,0.42,0.61,2021-06-24,0612,1,nominal,2.0NRT,284.9,0.6,N
44.05328,-77.12241,295.6,0.42,0.61,2021-06-24,0612,1,nominal,2.0NRT,284.7,0.9,N
43.26588,-79.81483,296.2,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,283.8,2.3,N
43.2658,-79.80774,317.2,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,286.2,2.3,N
43.27726,-79.80576,298.3,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,284,1.2,N
43.27714,-79.79872,301.1,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,283.7,1.2,N
43.2646,-79.81326,304.4,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,283.9,3.1,N
43.26447,-79.80617,315.3,0.56,0.69,2021-06-24,0612,1,nominal,2.0NRT,286.1,3.9,N
42.81525,-80.09313,309.7,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,284.6,3,N
42.80888,-80.10064,334.4,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,285.6,3,N
42.80878,-80.09339,299.5,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,284.8,3,N
42.80251,-80.10821,296.5,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,283.5,1.4,N
42.80241,-80.10094,301.5,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,285.2,1.8,N
41.80436,-71.54042,295.9,0.41,0.45,2021-06-24,0612,1,nominal,2.0NRT,283.3,0.2,N
41.43739,-75.59438,309.2,0.33,0.55,2021-06-24,0612,1,nominal,2.0NRT,281.7,0.6,N
41.39391,-75.73404,296.7,0.34,0.56,2021-06-24,0612,1,nominal,2.0NRT,282.7,0.5,N
41.46436,-81.67959,297.2,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,283.3,1.4,N
41.46432,-81.67094,296.1,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,283.4,1.4,N
41.45745,-81.6797,295.5,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,283.1,1.1,N
41.45053,-81.67977,307.7,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,283.5,1.1,N
41.4649,-81.67662,304.4,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,284.2,2.4,N
41.45108,-81.67662,309.9,0.69,0.74,2021-06-24,0612,1,nominal,2.0NRT,283.9,2,N
41.21974,-80.50999,307.8,0.6,0.7,2021-06-24,0612,1,nominal,2.0NRT,283.4,1.4,N
41.22086,-80.50806,304.3,0.6,0.7,2021-06-24,0612,1,nominal,2.0NRT,283.2,1.7,N
40.89425,-77.7085,301.4,0.42,0.61,2021-06-24,0612,1,nominal,2.0NRT,269.6,1.3,N
40.71544,-75.39874,302.4,0.32,0.54,2021-06-24,0612,1,nominal,2.0NRT,285.7,0.6,N
40.63802,-74.22261,305.7,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,291.1,1.9,N
40.57703,-74.19001,296.5,0.55,0.51,2021-06-24,0612,1,nominal,2.0NRT,286.5,0.7,N
40.80654,-81.33506,295.2,0.66,0.73,2021-06-24,0612,1,nominal,2.0NRT,284,0.8,N
40.39584,-79.85783,304.6,0.55,0.68,2021-06-24,0612,1,nominal,2.0NRT,282.3,1.9,N
40.17382,-75.8973,295.6,0.33,0.56,2021-06-24,0612,1,nominal,2.0NRT,280.6,0.2,N
40.30507,-79.87818,299.3,0.55,0.68,2021-06-24,0612,1,nominal,2.0NRT,282.5,1.4,N
40.3049,-79.8713,295.3,0.55,0.68,2021-06-24,0612,1,nominal,2.0NRT,282.1,1.4,N
39.94866,-76.76712,295.7,0.37,0.58,2021-06-24,0612,1,nominal,2.0NRT,285.3,0.5,N
39.94034,-76.81637,320.9,0.37,0.58,2021-06-24,0612,1,nominal,2.0NRT,281.1,2,N
39.94327,-76.81476,317.1,0.37,0.58,2021-06-24,0612,1,nominal,2.0NRT,282.2,1.7,N
39.93787,-76.81513,296.4,0.37,0.58,2021-06-24,0612,1,nominal,2.0NRT,280.3,0.4,N
39.58836,-75.63676,299.9,0.32,0.55,2021-06-24,0612,1,nominal,2.0NRT,284.1,1.1,N
38.76344,-82.29923,305.4,0.72,0.76,2021-06-24,0612,1,nominal,2.0NRT,281.4,1.4,N
38.75887,-82.29538,297.2,0.72,0.76,2021-06-24,0612,1,nominal,2.0NRT,281.1,1.2,N
37.4539,-78.05681,313.8,0.42,0.61,2021-06-24,0612,1,nominal,2.0NRT,282.8,1.2,N
37.38116,-80.66131,298.1,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,283.2,1.9,N
37.38701,-80.66192,302.7,0.58,0.7,2021-06-24,0612,1,nominal,2.0NRT,283.5,1.7,N
36.95713,-79.09496,300.4,0.47,0.64,2021-06-24,0612,1,nominal,2.0NRT,283.1,0.7,N
36.33598,-77.30272,302.9,0.37,0.58,2021-06-24,0612,1,nominal,2.0NRT,285.4,0.5,N
35.71624,-78.83673,299.4,0.44,0.63,2021-06-24,0612,1,nominal,2.0NRT,285.9,0.5,N
35.50851,-80.32985,296.4,0.54,0.68,2021-06-24,0612,1,nominal,2.0NRT,284.6,0.5,N
35.50483,-80.33183,302.7,0.54,0.68,2021-06-24,0612,1,nominal,2.0NRT,285.5,1.1,N
35.34403,-80.82791,299.8,0.57,0.69,2021-06-24,0612,1,nominal,2.0NRT,285.4,0.7,N
34.74868,-77.47001,304,0.36,0.58,2021-06-24,0612,1,nominal,2.0NRT,284.9,0.5,N
34.80349,-80.05056,306.1,0.51,0.66,2021-06-24,0612,1,nominal,2.0NRT,279.7,1.2,N
33.01576,-79.88573,326.8,0.49,0.65,2021-06-24,0612,1,nominal,2.0NRT,289.9,2.4,N
48.18911,-64.92271,297.1,0.42,0.37,2021-06-24,0606,1,nominal,2.0NRT,281.8,0.6,N
46.95289,-68.03008,297.8,0.5,0.41,2021-06-24,0606,1,nominal,2.0NRT,278.9,0.5,N
22.45349,-80.75858,304.2,0.43,0.62,2021-06-24,0618,1,nominal,2.0NRT,285.7,0.5,N
22.01804,-78.61378,305.9,0.62,0.54,2021-06-24,0618,1,nominal,2.0NRT,289.8,0.9,N
21.98721,-79.30818,303.7,0.34,0.56,2021-06-24,0618,1,nominal,2.0NRT,289.6,0.6,N
18.93011,-70.35162,302.9,0.39,0.36,2021-06-24,0618,1,nominal,2.0NRT,261.4,0.8,N
18.92682,-70.35222,333.7,0.39,0.36,2021-06-24,0618,1,nominal,2.0NRT,261.3,2.8,N
17.9711,-76.63808,309.1,0.41,0.45,2021-06-24,0618,1,nominal,2.0NRT,283,2.4,N
17.96605,-76.63154,323.7,0.41,0.45,2021-06-24,0618,1,nominal,2.0NRT,285.4,4.1,N
17.96149,-76.62878,328.5,0.41,0.45,2021-06-24,0618,1,nominal,2.0NRT,285.8,4.2,N
21.11781,-86.9577,308.2,0.63,0.54,2021-06-24,0800,1,nominal,2.0NRT,290.7,1,N
22.45148,-97.93349,307.1,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,291.4,2,N
22.3523,-97.8717,307.8,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,290.8,2.2,N
20.94537,-89.66367,316.4,0.43,0.46,2021-06-24,0800,1,nominal,2.0NRT,295.1,2.4,N
22.28403,-97.81536,330,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,292.2,3.9,N
22.28345,-97.81126,308.9,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,292.1,2.9,N
22.26499,-97.80589,307.9,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,292.7,2,N
22.04357,-98.87021,311.6,0.47,0.4,2021-06-24,0800,1,nominal,2.0NRT,289.9,2.4,N
19.96671,-88.85948,302.3,0.5,0.49,2021-06-24,0800,1,nominal,2.0NRT,291.1,0.7,N
19.96898,-88.86132,309.2,0.5,0.49,2021-06-24,0800,1,nominal,2.0NRT,291.7,1.3,N
20.05212,-89.8651,311.5,0.43,0.46,2021-06-24,0800,1,nominal,2.0NRT,293.6,1.5,N
19.64456,-89.44352,303.6,0.47,0.47,2021-06-24,0800,1,nominal,2.0NRT,292.8,0.6,N
19.59729,-89.45391,319,0.47,0.47,2021-06-24,0800,1,nominal,2.0NRT,293,1.9,N
19.40191,-89.31528,302.7,0.48,0.48,2021-06-24,0800,1,nominal,2.0NRT,291.8,0.4,N
19.40218,-89.31779,304.6,0.48,0.48,2021-06-24,0800,1,nominal,2.0NRT,291.9,0.8,N
20.5153,-97.47947,301.5,0.4,0.37,2021-06-24,0800,1,nominal,2.0NRT,275.7,0.7,N
18.88155,-88.39847,308.4,0.56,0.52,2021-06-24,0800,1,nominal,2.0NRT,291.9,1.4,N
19.56418,-92.18457,309.9,0.49,0.4,2021-06-24,0800,1,nominal,2.0NRT,291.9,6.2,N
19.56586,-92.23643,342.6,0.49,0.4,2021-06-24,0800,1,nominal,2.0NRT,294.4,19.7,N
19.51719,-92.15576,332.9,0.49,0.4,2021-06-24,0800,1,nominal,2.0NRT,292.5,7.5,N
19.42871,-92.07967,333.4,0.5,0.41,2021-06-24,0800,1,nominal,2.0NRT,271.8,6.3,N
19.29683,-92.16644,331.9,0.49,0.41,2021-06-24,0800,1,nominal,2.0NRT,288.1,8.3,N
19.30269,-92.19881,316.5,0.49,0.4,2021-06-24,0800,1,nominal,2.0NRT,289.5,4.2,N
19.29599,-92.16181,308.8,0.49,0.41,2021-06-24,0800,1,nominal,2.0NRT,287.6,6.1,N
19.29398,-92.17181,333.4,0.49,0.41,2021-06-24,0800,1,nominal,2.0NRT,288,4.8,N
19.29314,-92.16718,313.7,0.49,0.41,2021-06-24,0800,1,nominal,2.0NRT,288.4,4.8,N
19.24112,-92.25159,309.9,0.49,0.4,2021-06-24,0800,1,nominal,2.0NRT,291,4.2,N
17.97225,-88.23701,313.1,0.6,0.53,2021-06-24,0800,1,nominal,2.0NRT,290,3.6,N
18.64578,-92.16954,310.3,0.5,0.41,2021-06-24,0800,1,nominal,2.0NRT,273.2,2.8,N
18.64206,-92.17027,334.5,0.5,0.41,2021-06-24,0800,1,nominal,2.0NRT,272.7,2.8,N
18.64292,-92.17498,303.5,0.5,0.41,2021-06-24,0800,1,nominal,2.0NRT,271.5,2.5,N
19.23192,-96.22381,303.8,0.38,0.36,2021-06-24,0800,1,nominal,2.0NRT,287.3,0.5,N
19.17918,-96.23668,320.5,0.38,0.36,2021-06-24,0800,1,nominal,2.0NRT,286.8,1.8,N
19.17975,-96.2403,305,0.38,0.36,2021-06-24,0800,1,nominal,2.0NRT,287.6,0.9,N
19.51471,-98.56571,295.1,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,268.8,0.6,N
18.80201,-96.27895,311.4,0.38,0.36,2021-06-24,0800,1,nominal,2.0NRT,284.1,0.6,N
19.02236,-98.62312,333.9,0.43,0.38,2021-06-24,0800,1,nominal,2.0NRT,262.7,4,N
18.64229,-96.21665,315.7,0.38,0.36,2021-06-24,0800,1,nominal,2.0NRT,279.6,1.1,N
18.07267,-94.36608,329.7,0.41,0.37,2021-06-24,0800,1,nominal,2.0NRT,266.8,4.7,N
17.92953,-102.20699,298.5,0.42,0.46,2021-06-24,0800,1,nominal,2.0NRT,264.6,1.4,N
17.92902,-102.20297,302.4,0.42,0.45,2021-06-24,0800,1,nominal,2.0NRT,263.6,1.4,N
17.92852,-102.19899,300.4,0.42,0.45,2021-06-24,0800,1,nominal,2.0NRT,264.2,2.3,N
42.80466,-80.09731,325,0.5,0.49,2021-06-24,0754,1,nominal,2.0NRT,287.3,2.3,N
42.80607,-80.10316,303.3,0.5,0.49,2021-06-24,0754,1,nominal,2.0NRT,284.4,2.3,N
42.80176,-80.10506,312.8,0.5,0.49,2021-06-24,0754,1,nominal,2.0NRT,285.2,2.3,N
41.39355,-75.73505,296,0.45,0.63,2021-06-24,0754,1,nominal,2.0NRT,282.4,0.3,N
40.63983,-74.22235,297.8,0.55,0.68,2021-06-24,0754,1,nominal,2.0NRT,284.4,1.1,N
40.15664,-74.76887,299.2,0.54,0.68,2021-06-24,0754,1,nominal,2.0NRT,279.7,0.4,N
40.89037,-77.70938,300.7,0.37,0.58,2021-06-24,0754,1,nominal,2.0NRT,273.1,0.8,N
41.22088,-80.51084,308.1,0.52,0.5,2021-06-24,0754,1,nominal,2.0NRT,284.4,1.8,N
41.22022,-80.51102,308.8,0.52,0.5,2021-06-24,0754,1,nominal,2.0NRT,284,1.7,N
39.82391,-75.40133,298.6,0.51,0.66,2021-06-24,0754,1,nominal,2.0NRT,286,0.9,N
40.83678,-79.93533,305.5,0.57,0.52,2021-06-24,0754,1,nominal,2.0NRT,282.2,2.1,N
40.83582,-79.93671,315.5,0.57,0.52,2021-06-24,0754,1,nominal,2.0NRT,283.2,1.8,N
42.48,-87.88472,308.1,0.39,0.37,2021-06-24,0754,1,nominal,2.0NRT,288.5,0.6,N
39.58677,-75.63332,303,0.51,0.66,2021-06-24,0754,1,nominal,2.0NRT,287.7,2,N
40.83027,-80.31674,298.3,0.55,0.51,2021-06-24,0754,1,nominal,2.0NRT,282.8,0.8,N
40.83201,-80.31641,303.2,0.55,0.51,2021-06-24,0754,1,nominal,2.0NRT,283.5,0.9,N
41.4702,-83.36882,303.5,0.57,0.43,2021-06-24,0754,1,nominal,2.0NRT,286.5,1.7,N
41.46877,-83.36222,310.5,0.57,0.43,2021-06-24,0754,1,nominal,2.0NRT,288.7,1.7,N
41.4611,-83.36521,303.2,0.57,0.43,2021-06-24,0754,1,nominal,2.0NRT,287.3,1.2,N
42.3187,-88.02387,309.1,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,289,0.8,N
40.7565,-81.43042,313,0.48,0.48,2021-06-24,0754,1,nominal,2.0NRT,283.2,1.5,N
40.75356,-81.43765,300.2,0.48,0.48,2021-06-24,0754,1,nominal,2.0NRT,284.1,1.5,N
40.75704,-81.4323,313.5,0.48,0.48,2021-06-24,0754,1,nominal,2.0NRT,284,1.2,N
40.75407,-81.43956,295.6,0.48,0.48,2021-06-24,0754,1,nominal,2.0NRT,284.1,1.2,N
40.30433,-79.8743,302.1,0.59,0.53,2021-06-24,0754,1,nominal,2.0NRT,288,2.5,N
42.14412,-89.0802,298.7,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,279.6,0.3,N
41.37249,-84.91573,297.4,0.49,0.4,2021-06-24,0754,1,nominal,2.0NRT,285.8,1.2,N
41.95405,-88.14214,303.7,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,289,0.6,N
40.34543,-80.60612,297,0.54,0.51,2021-06-24,0754,1,nominal,2.0NRT,285.4,0.8,N
40.79427,-82.5286,295.3,0.43,0.46,2021-06-24,0754,1,nominal,2.0NRT,284.9,0.8,N
40.79224,-82.52676,299,0.43,0.46,2021-06-24,0754,1,nominal,2.0NRT,287.4,0.6,N
40.34689,-80.60696,299.5,0.54,0.51,2021-06-24,0754,1,nominal,2.0NRT,285.8,1.8,N
40.34092,-80.60269,297,0.54,0.51,2021-06-24,0754,1,nominal,2.0NRT,283.8,0.7,N
40.3125,-80.60761,306.8,0.54,0.51,2021-06-24,0754,1,nominal,2.0NRT,284.1,1,N
41.64263,-87.13764,332.3,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,291.9,10.3,N
41.64175,-87.13277,319.9,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,289.8,2.2,N
41.63927,-87.13873,332.6,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,292.2,3.3,N
41.63592,-87.13982,315.9,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,289.6,3.3,N
41.68394,-87.42593,329,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,287.2,3.8,N
41.63167,-87.13603,321.8,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,289.2,2.2,N
41.68308,-87.42113,303,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,282.7,3.8,N
41.6292,-87.14197,322.5,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,289.2,2.4,N
41.67812,-87.43285,335.8,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,288.8,2.6,N
41.67727,-87.42806,333.4,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,284.6,7.7,N
41.62584,-87.14304,309.9,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,290,1.2,N
41.67479,-87.43389,301.7,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,285.6,2.6,N
41.67393,-87.42912,307.7,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,286.1,7.7,N
41.67059,-87.43016,308.2,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,287.4,2.3,N
41.66887,-87.42057,303,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,284.2,1.2,N
41.67326,-87.46475,307.8,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,287.5,1.3,N
41.66526,-87.42374,307.3,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,286.7,2.3,N
41.66617,-87.44881,334.5,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,286.3,7.5,N
41.62994,-87.36379,300.2,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,288.1,0.9,N
41.62393,-87.33007,307.1,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,288.7,1.1,N
41.62058,-87.33115,326.9,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,291.1,3.1,N
41.62659,-87.36486,313.5,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,287.6,1.4,N
41.61724,-87.33221,323.2,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,288.8,3.1,N
41.61637,-87.32738,330.2,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,291.1,3.1,N
41.61303,-87.32845,315.7,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,289,2,N
41.65816,-87.62278,323,0.4,0.37,2021-06-24,0754,1,nominal,2.0NRT,286.4,2.3,N
39.436,-77.97691,297.2,0.39,0.59,2021-06-24,0754,1,nominal,2.0NRT,281.1,0.8,N
41.47229,-86.8674,300.6,0.42,0.38,2021-06-24,0754,1,nominal,2.0NRT,285.5,0.8,N
39.433,-77.97462,299.9,0.39,0.59,2021-06-24,0754,1,nominal,2.0NRT,282.5,1.2,N
41.11929,-85.35133,326.4,0.48,0.4,2021-06-24,0754,1,nominal,2.0NRT,288.1,3.3,N
40.57133,-83.1382,304.9,0.4,0.45,2021-06-24,0754,1,nominal,2.0NRT,286,0.8,N
39.91661,-80.46621,295.7,0.57,0.52,2021-06-24,0754,1,nominal,2.0NRT,281,0.4,N
41.41562,-88.18486,302.6,0.4,0.37,2021-06-24,0754,1,nominal,2.0NRT,291.3,1.9,N
41.58486,-90.08294,296.3,0.38,0.36,2021-06-24,0754,1,nominal,2.0NRT,281.6,0.2,N
41.1809,-87.85688,306.5,0.4,0.37,2021-06-24,0754,1,nominal,2.0NRT,278.7,1,N
41.48193,-90.82415,300.5,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,288.5,1.1,N
41.46148,-90.68625,303.8,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,286.9,1.1,N
41.47932,-90.82963,326.9,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,288.6,2.8,N
41.48,-90.83424,309.9,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,287,2.8,N
39.82294,-82.65805,297,0.44,0.46,2021-06-24,0754,1,nominal,2.0NRT,284,0.7,N
39.08026,-79.69278,301.6,0.33,0.55,2021-06-24,0754,1,nominal,2.0NRT,281.4,0.6,N
40.9325,-88.65093,297.9,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,286.3,0.5,N
38.77927,-79.39477,300.1,0.34,0.56,2021-06-24,0754,1,nominal,2.0NRT,280.4,0.5,N
39.48774,-84.3616,299.4,0.56,0.43,2021-06-24,0754,1,nominal,2.0NRT,287.3,1,N
39.97667,-86.83532,336.2,0.44,0.38,2021-06-24,0754,1,nominal,2.0NRT,288.3,4.8,N
39.48408,-84.38325,298.3,0.56,0.43,2021-06-24,0754,1,nominal,2.0NRT,288,1.2,N
39.48275,-84.37694,309.6,0.56,0.43,2021-06-24,0754,1,nominal,2.0NRT,286.9,1.2,N
39.47891,-84.3783,299,0.56,0.43,2021-06-24,0754,1,nominal,2.0NRT,285.5,1.2,N
39.47144,-84.40128,303.6,0.56,0.43,2021-06-24,0754,1,nominal,2.0NRT,287.8,1.3,N
38.76223,-82.29807,335.9,0.49,0.48,2021-06-24,0754,1,nominal,2.0NRT,285.1,2.8,N
38.75791,-82.2996,304.3,0.49,0.48,2021-06-24,0754,1,nominal,2.0NRT,283.2,2.8,N
39.52869,-86.3784,299.8,0.46,0.39,2021-06-24,0754,1,nominal,2.0NRT,287.6,0.8,N
38.59943,-82.82282,305.3,0.46,0.47,2021-06-24,0754,1,nominal,2.0NRT,287.9,1.3,N
38.59639,-82.82948,303.1,0.46,0.47,2021-06-24,0754,1,nominal,2.0NRT,288,1.3,N
37.17939,-77.44764,297.7,0.48,0.65,2021-06-24,0754,1,nominal,2.0NRT,286.2,0.9,N
38.8356,-84.2399,334.6,0.39,0.44,2021-06-24,0754,1,nominal,2.0NRT,289.8,3.2,N
39.98678,-91.11957,302.6,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,279.7,0.5,N
38.83645,-84.75996,296.6,0.55,0.43,2021-06-24,0754,1,nominal,2.0NRT,285.6,0.5,N
38.83592,-84.76022,296.3,0.55,0.43,2021-06-24,0754,1,nominal,2.0NRT,285.7,0.8,N
39.93523,-91.53189,302.7,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,289.4,0.6,N
39.67886,-91.3158,300.9,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,287.7,0.3,N
38.99995,-87.72335,302.1,0.42,0.38,2021-06-24,0754,1,nominal,2.0NRT,281.8,1.2,N
38.74085,-86.45753,306.5,0.47,0.4,2021-06-24,0754,1,nominal,2.0NRT,287.5,0.9,N
37.3845,-80.66499,305.1,0.32,0.55,2021-06-24,0754,1,nominal,2.0NRT,282.9,1,N
37.38361,-80.66142,302.2,0.32,0.55,2021-06-24,0754,1,nominal,2.0NRT,285,1.2,N
36.9603,-79.09665,299.3,0.4,0.6,2021-06-24,0754,1,nominal,2.0NRT,283.6,0.6,N
36.95915,-79.09234,296.7,0.4,0.6,2021-06-24,0754,1,nominal,2.0NRT,282.6,0.6,N
38.41658,-85.74777,298.9,0.51,0.41,2021-06-24,0754,1,nominal,2.0NRT,286.9,0.9,N
38.88579,-90.13979,302.1,0.39,0.36,2021-06-24,0754,1,nominal,2.0NRT,263.5,0.4,N
37.23521,-82.03948,325.4,0.55,0.51,2021-06-24,0754,1,nominal,2.0NRT,287.4,3.3,N
37.89441,-86.68504,303.2,0.47,0.4,2021-06-24,0754,1,nominal,2.0NRT,290.3,0.9,N
37.89438,-86.68715,300.3,0.48,0.4,2021-06-24,0754,1,nominal,2.0NRT,288.6,1,N
37.11563,-83.8018,300.6,0.44,0.46,2021-06-24,0754,1,nominal,2.0NRT,284.6,0.7,N
37.11457,-83.79702,295.1,0.44,0.46,2021-06-24,0754,1,nominal,2.0NRT,284.9,0.7,N
38.63973,-93.26387,329.9,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,282.1,3.3,N
35.71084,-78.8353,296,0.44,0.63,2021-06-24,0754,1,nominal,2.0NRT,285.8,0.7,N
37.87626,-88.82785,297.6,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,282.2,0.2,N
37.87291,-88.82877,297.3,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,282.5,0.5,N
38.54517,-93.2651,318,0.41,0.37,2021-06-24,0754,1,nominal,2.0NRT,285.2,1.4,N
